,CAN_DEFAULT,DEFAULT,DESCRIPTION,FORMAT,HI,HI-HI,LOW,LOW-LOW,UNIT_KEY,UNITS
E Q(P) T,Yes,15.5556,Temperature,2,60,93.3333,4.44444,-12.2222,TEMPERATURE,DC
E Q-CONTROL FLOW1,No,0,Lower end of the flow control range,2,6.62447e+22,6.62447e+22,-6.62447e+22,-6.62447e+22,FLOW,M3/HR
E Q-CONTROL FLOW2,No,0,Upper end of the flow control range,2,6.62447e+22,6.62447e+22,-6.62447e+22,-6.62447e+22,FLOW,M3/HR
E Q-CONTROL T,Yes,21.1111,Temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
E SALE/TAKE ELEV,Yes,0,Elevation,2,2377.44,3048,0,-76.2,ELEVATION,M
E SALE/TAKE PMAX,Yes,34473.7,Highest allowable pressure,2,34473.7,68947.3,3447.37,689.473,PRESSURE,KPAG
E SALE/TAKE PMIN,Yes,-100.636,Lowest allowable pressure,2,3447.37,6894.73,-107.53,-107.53,PRESSURE,KPAG
E SALE/TAKE PRATE,Yes,1e+09,Pressure rate-of-change limit,2,1e+10,1e+10,-1e+10,-1e+10,DELTA.PRES,KPA
E SALE/TAKE QMAX,Yes,66244.7,Highest allowable flow,2,6.62447e+10,6.62447e+10,-6.62447e+10,-6.62447e+10,FLOW,M3/HR
E SALE/TAKE QMIN,Yes,-66244.7,Lowest allowable flow,2,6.62447e+10,6.62447e+10,-6.62447e+10,-6.62447e+10,FLOW,M3/HR
E SALE/TAKE QRATE,Yes,1e+09,Flow rate-of-change limit,2,1e+10,1e+10,0,0,FLOW,M3/HR
E SALE/TAKE SNQ,Yes,0,Nominal flow setpoint,2,6.62447e+10,1.32489e+11,-6.62447e+10,-1.32489e+11,FLOW,M3/HR
E SALE/TAKE SP,No,0,Pressure setpoint,2,10342.1,17236.8,-103.421,-103.421,PRESSURE,KPAG
E SALE/TAKE T,Yes,8,Temperature,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
E SURGETANK C1,Yes,1,Entrance loss at node,2,1e+20,1e+20,0,0,NONE,
E SURGETANK C2,Yes,1,Exit loss at node,2,1e+20,1e+20,0,0,NONE,
E SURGETANK CDIAM,No,0,Inside diameter of connecting pipe,2,2.54e+21,2.54e+21,0,0,DIAMETER,MM
E SURGETANK CLEN,No,0,Length of connecting pipe,2,3.048e+16,3.048e+16,0,0,LENGTH.HEADER,KM
E SURGETANK FF,No,0,Moody friction factor for connecting pipe,2,1e+20,1e+20,0,0,NONE,
E SURGETANK HEIGHT,No,0,Tank height or length,2,3.048e+19,3.048e+19,0,0,ELEVATION,M
E SURGETANK ID,No,0,Tank diameter,2,2.54e+21,2.54e+21,0,0,DIAMETER,MM
E SURGETANK K1,Yes,1,Entrance loss at tank,2,1e+20,1e+20,0,0,NONE,
E SURGETANK K2,Yes,1,Exit loss at tank,2,1e+20,1e+20,0,0,NONE,
E SURGETANK LEVEL,No,0,Initial liquid level,2,3.048e+19,3.048e+19,0,0,ELEVATION,M
E SURGETANK NTANK,Yes,1.3,Polytropic exponent,2,1e+20,1e+20,0,0,NONE,
E SURGETANK PINIT,No,0,Initial gas pressure,2,6.89473e+20,6.89473e+20,0,0,PRESSURE,KPAG
FM * FLOW,No,0,Flow rate for sizing resistance,2,707921,1.17987e+06,0,0,FLOW,M3/HR
FM * PIN,No,0,Inlet pressure for sizing resistance,2,9652.63,13789.5,689.473,0,PRESSURE,KPAG
FM * POUT,No,0,Outlet pressure for sizing resistance,2,9652.63,13789.5,689.473,0,PRESSURE,KPAG
FM * T,Yes,-17.7778,Temperature for sizing resistance,2,65.5556,93.3333,-12.2222,-17.7778,TEMPERATURE,DC
GC * DDROP_P+,Yes,0,Pressure used to calculate discharge piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * DDROP_P-,Yes,0,Pressure used to calculate discharge piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * DDROP_Q,Yes,0,Flow used to calculate suction discharge loss,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
GC * EFF,Yes,1,Efficiency,2,1,1,0,0,EFFICIENCY,FR
GC * HR,Yes,0,Constant heat rate,2,28297.1,42445.6,0,0,HEAT.RATE,KJ/KW-HR
GC * K1,Yes,0.12198,Compressor equation coefficient one,2,6.3202e+18,6.3202e+18,0,0,POWER.OVER.FLOW,KW-HR/M3
GC * K2,Yes,0.121348,Compressor equation coefficient two,2,6.3202e+18,6.3202e+18,0,0,POWER.OVER.FLOW,KW-HR/M3
GC * K3,Yes,0.231,Compressor equation exponent,2,1e+22,1e+22,0,0,NONE,
GC * MNP-,Yes,0,Minimum suction pressure constraint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * MNPW,Yes,0,Minimum allowable compressor power constraint,2,7.457e+21,7.457e+21,0,0,POWER,KW
GC * MNR,Yes,1,Minimum compressor ratio constraint,2,10,10,0,0,NONE,
GC * MXP+,Yes,68947.3,Maximum discharge pressure constraint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * MXR,Yes,10,Maximum compressor ratio constraint,2,10,10,0,0,NONE,
GC * NPOLY,Yes,1.3,Polytropic exponent,2,1.6,5,1.1,1.0001,NONE,
GC * NRN,Yes,1,Number of identical running compressors,2,10,20,0,0,NONE,
GC * PDMAX,Yes,68947.3,Discharge pressure setpoint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * PSMIN,Yes,0,Suction pressure setpoint,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * PWMAX,Yes,7.457e+21,Maximum allowable compressor power constraint,2,7.457e+21,7.457e+21,0,0,POWER,KW
GC * QMAX,Yes,1.17987e+07,Maximum flow constraint,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
GC * QMIN,Yes,0,Minimum flow constraint,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
GC * RP,No,745.7,Rated power for spin up and spin down sequencing,2,18642.5,28336.6,745.7,372.85,POWER,KW
GC * SDROP_P+,Yes,0,Pressure used to calculate suction piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * SDROP_P-,Yes,0,Pressure used to calculate suction piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
GC * SDROP_Q,Yes,0,Flow used to calculate suction piping loss,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
GC * SPPW,Yes,7.457e+21,Compressor power setpoint,2,7.457e+21,7.457e+21,0,0,POWER,KW
GC * SQ+,Yes,1.17987e+07,Flow setpoint,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
GC * SR,Yes,10,Compression ratio setpoint,2,10,10,0,0,NONE,
GC * START,Yes,3,Start time,2,10,30,0.4,0.25,TIME,MIN
GC * STOP,Yes,3,Stop time,2,10,30,0.4,0.25,TIME,MIN
GC * TRR,Yes,1.3,Temperature rise ratio,2,1.6,5,1.1,1.0001,NONE,
GP * AMP,Yes,1,Area multiplier (number of identical parallel lines),2,5,20,0.9,0.01,NONE,
GP * DRAD,Yes,0,DRA Degradation Coefficient,2,0.0984252,0.328084,0,0,INVERSE.PIPE.LENGTH,1/KM
GP * EE,Yes,9.144,Maximum vertical distance batch interfaces could be misaligned,2,304.8,1609.34,0,0,ELEVATION,M
GP * EFF,Yes,1,Pipe efficiency,2,1,1,0.1,0.01,NONE,
GP * ELEV,Yes,0,Elevation,2,2377.44,3048,0,-76.2,ELEVATION,M
GP * FF,Yes,0.013,Moody friction factor,2,0.05,0.1,0.01,0.008,NONE,
GP * FILL.CP,Yes,0.795455,Pipe FILL heat capacity,2,8.3732,16.7464,0.041866,0.041866,HEAT.CAPACITY,KJ/KG-DC
GP * FILL.DENS,Yes,1649.9,Pipe FILL density,2,16018.5,32036.9,80.0923,48.0554,DENSITY,KG/M3
GP * FILL.K,Yes,0.934545,Pipe FILL thermal conductivity,2,186.909,373.818,0,0,HEAT.COND,KJ/HR-M-DC
GP * FILL.KNOT,Yes,0,FILL thermal knots,,50,100,0,0,NONE,
GP * FILL.THIK,Yes,0,Pipe FILL thickness,2,1270,2540,0,0,WALL,MM
GP * GRND.BDEP,Yes,1219.2,Pipe burial depth,2,1270,2540,0,0,WALL,MM
GP * GRND.CP,Yes,0.795455,Pipe GRND heat capacity,2,8.3732,16.7464,0.041866,0.041866,HEAT.CAPACITY,KJ/KG-DC
GP * GRND.DENS,Yes,1649.9,Pipe GRND density,2,16018.5,32036.9,80.0923,48.0554,DENSITY,KG/M3
GP * GRND.K,Yes,0.934545,Pipe GRND thermal conductivity,2,186.909,1246.06,0,0,HEAT.COND,KJ/HR-M-DC
GP * GRND.KNOT,Yes,5,GRND thermal knots,,50,100,0,0,NONE,
GP * GRND.THIK,Yes,1219.2,Pipe GRND thickness,2,4000,6000,0,0,WALL,MM
GP * KS,Yes,0,Knot spacing (ADVANCED),2,16.0934,32.1869,0.0160934,0.00160934,LENGTH.PIPE,KM
GP * LEN,No,16.0934,Pipe length,2,80.4672,321.869,0.160934,0.0160934,LENGTH.PIPE,KM
GP * MODULUS,Yes,199.947,Young's Modulus,2,241.316,482.631,0.689473,0.0689473,TENSILE.STRESS,GPA
GP * OD,No,508,Outside diameter,2,1219.2,1524,101.6,57.15,DIAMETER,MM
GP * P+,Yes,0,Downstream pressure used to back-calculate roughness or friction factor,2,8273.68,10342.1,68.9473,0,PRESSURE,KPAG
GP * P-,Yes,0,Upstream pressure used to back-calculate roughness or friction factor,2,8273.68,10342.1,68.9473,0,PRESSURE,KPAG
GP * Q,Yes,0,Flow used to back-calculate roughness or friction factor (negative if flowing upstream),2,6.62447e+10,1.32489e+11,-6.62447e+10,-1.32489e+11,FLOW,M3/HR
GP * ROUGH,Yes,0.0457,Colebrook roughness,2,0.254,12.7,0.00762,0.000254,ROUGHNESS,MM
GP * SVB,Yes,0,Volume of diagnostic flow to be excused due to inaccuracies in modeling slack line flow,2,158.987,1589.87,0,0,VOLUME,M3
GP * T+,Yes,-17.7778,Initial fluid temperature at downstream end,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
GP * TEMP,Yes,-17.7778,Initial fluid temperature,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
GP * WALL.CP,Yes,0.460528,Pipe WALL heat capacity,2,8.3732,16.7464,0.041866,0,HEAT.CAPACITY,KJ/KG-DC
GP * WALL.DENS,Yes,7849.05,Pipe WALL density,2,16018.5,32036.9,80.0923,0,DENSITY,KG/M3
GP * WALL.K,Yes,161.988,Pipe WALL thermal conductivity,2,186.909,373.818,0,0,HEAT.COND,KJ/HR-M-DC
GP * WALL.KNOT,Yes,2,WALL thermal knots,,50,100,0,0,NONE,
GP * WRAP.CP,Yes,1.04665,Pipe WRAP heat capacity,2,8.3732,16.7464,0.041866,0.041866,HEAT.CAPACITY,KJ/KG-DC
GP * WRAP.DENS,Yes,576.665,Pipe WRAP density,2,16018.5,32036.9,80.0923,48.0554,DENSITY,KG/M3
GP * WRAP.K,Yes,0.542036,Pipe WRAP thermal conductivity,2,186.909,373.818,0,0,HEAT.COND,KJ/HR-M-DC
GP * WRAP.KNOT,Yes,0,WRAP thermal knots,,50,100,0,0,NONE,
GP * WRAP.THIK,Yes,0,Pipe WRAP thickness,2,1270,2540,0,0,WALL,MM
GP * WT,No,12.7,Wall thickness,2,25.4,31.75,5.08,2.54,WALL,MM
H * AMP,Yes,1,Area multiplier,2,5,20,0.9,0.1,NONE,
H * DLT,Yes,0,Delta temperature,2,27.7778,55.5556,-27.7778,-55.5556,DELTA.TEMP,DC
H * DRAD,Yes,0,DRA degradation,2,100,100,0,0,DEGRADATION,PERCENT
H * ELEV,Yes,0,Elevation,2,2377.44,3048,0,-76.2,ELEVATION,M
H * LEN,No,0.03048,Actual length of the header,2,1.60934,2.286,0.003048,0.001524,LENGTH.HEADER,KM
H * MOODY,Yes,0.013,Moody friction factor,2,0.05,0.1,0.01,0.008,NONE,
H * OD,No,508,Outside diameter,2,1219.2,1524,101.6,57.15,DIAMETER,MM
H * P+,Yes,0,Downstream pressure used to back-calculate friction factor,2,9999.98,12000,68.9473,0,PRESSURE,KPAG
H * P-,Yes,0,Upstream pressure used to back-calculate friction factor,2,9999.98,12000,68.9473,0,PRESSURE,KPAG
H * Q,Yes,0,Flow used to back-calculate friction factor,2,9936.71,66244.7,66.2447,0,FLOW,M3/HR
H * T+,Yes,8,Initial fluid temperature at downstream end,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
H * T-,Yes,8,Initial fluid temperature at upstream end,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
H * TMP,Yes,21.1111,Outlet temperature,2,93.3333,121.111,4.44444,-12.2222,TEMPERATURE,DC
H * WT,No,12.7,Wall thickness,2,25.4,31.75,5.08,2.54,WALL,MM
HF * DRAD,Yes,100,DRA degradation,2,100,100,0,0,DEGRADATION,PERCENT
HF * JP,Yes,0,"multiplier for inlet pressure, first equation",2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * JQ,Yes,0,"multiplier for flow, first equation",2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * JRHS,Yes,0,desired value of first equation,2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * JWT,Yes,0,"weight, first equation",2,1e+10,1e+10,-1e+10,-1e+10,NONE,
HF * SQ,Yes,0,Flow setpoint,2,6.62447e+06,6.62447e+09,-6.62447e+06,-6.62447e+09,FLOW,M3/HR
I * DLY,Yes,0,Delay for initiating an event-programmed response,2,1e+22,1e+22,0,0,TIME,MIN
I * FUNC1,No,0,Output value before activation begins,2,1e+22,1e+22,-1e+22,-1e+22,NONE,
I * FUNC2,No,0,Output value after activation ends,2,1e+22,1e+22,-1e+22,-1e+22,NONE,
I * SC,Yes,1,Time scale factor,2,1e+22,1e+22,0,0,NONE,
I * ST,Yes,1e+20,Time scale shift,2,1e+22,1e+22,0,0,TIME,MIN
I * T1,No,0,Beginning reference time,2,1e+22,1e+22,-1e+22,-1e+22,SIG.TIME,MIN
I * T2,No,0,Ending reference time,2,1e+22,1e+22,-1e+22,-1e+22,SIG.TIME,MIN
I * VAL,Yes,0,Constant value,2,1e+22,1e+22,-1e+22,-1e+22,NONE,
IA * MATD,Yes,1589.87,Downstream pipe volume to search,2,15898.7,158987,158.987,15.8987,VOLUME,M3
IA * MATU,Yes,1589.87,Upstream pipe volume to search,2,15898.7,158987,158.987,15.8987,VOLUME,M3
IA * SIG,Yes,794.936,Volume of signal to save and search for,2,7949.36,79493.6,79.4936,7.94936,VOLUME,M3
ISOTHERMAL * TEMP,Yes,21.1111,Temperature,2,65.5556,121.111,-17.7778,-45.5556,TEMPERATURE,DC
KC * DLOSS,Yes,0.025,Fraction of power lost to inlet and outlet ducting,2,0.5,0.5,0,0,EFFICIENCY,FR
KC * ELEV,Yes,0,Elevation of the compressor,2,2377.44,3048,0,-76.2,ELEVATION,M
KC * HEC,Yes,1,Multiplier of table hydraulic efficiency values,2,0.99,1.1,0.6,0.5,NONE,
KC * HR,Yes,0,Constant heat rate,2,28297.1,42445.6,0,0,HEAT.RATE,KJ/KW-HR
KC * ME,Yes,0.97,The mechanical efficiency,2,0.99,1.1,0.6,0.5,EFFICIENCY,FR
KC * MNS,Yes,0,Compressor minimum speed,2,1e+22,1e+22,0,0,SPEED,RPM
KC * MXPW,Yes,74570,Maximum permissible turbine power under any conditions,2,18642.5,37285,74.57,0,POWER,KW
KC * MXS,Yes,1e+22,Compressor maximum speed,2,1e+22,1e+22,0,0,SPEED,RPM
KC * MXT+,Yes,260,High discharge temperature trip,2,315.556,371.111,15.5556,4.44444,TEMPERATURE,DC
KC * MXTE,Yes,5.55556e+21,Maximum power turbine exhaust temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
KC * NPOLY,Yes,1.3,Polytropic exponent,2,1.6,5,1.1,1.0001,NONE,
KC * NRN,Yes,1,Number of identical running compressors,2,10,20,0,0,NONE,
KC * SP+,Yes,0,Discharge pressure setpoint,2,13789.5,689473,9652.63,2068.42,PRESSURE,KPAG
KC * SP-,Yes,0,Suction pressure set point,2,5515.79,6894.73,2068.42,0,PRESSURE,KPAG
KC * SQ+,Yes,0,Flow set point,2,1.17987e+06,1.7698e+06,0,0,FLOW,M3/HR
KC * SS,Yes,0,Controlled compressor speed,2,1e+22,1e+22,0,0,SPEED,RPM
KC * START,Yes,3,Start time,2,10,30,0.4,0.25,TIME,MIN
KC * STOP,Yes,3,Stop time,2,10,30,0.4,0.25,TIME,MIN
KC * TA,Yes,21.1111,Ambient temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
KC * TR,Yes,15,Reference temperature,2,5.55556e+21,5.55556e+21,-17.7778,-17.7778,TEMPERATURE,DC
KC * TRR,Yes,1.3,Temperature rise ratio,2,1.6,5,1.1,1.0001,NONE,
KP * DDROP_P+,Yes,0,Pressure used to calculate discharge piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * DDROP_P-,Yes,0,Pressure used to calculate discharge piping loss,2,6.89473e+22,6.89473e+22,0,0,PRESSURE,KPAG
KP * DDROP_Q,Yes,0,Flow used to calculate suction discharge loss,2,1.17987e+25,1.17987e+25,0,0,FLOW,M3/HR
KP * EFF,Yes,1,Efficiency,2,1,1,0,0,EFFICIENCY,FR
